name,wiki_url
Dan Aykroyd,https://en.wikipedia.org/wiki/Dan_Aykroyd
Nabil Ayouch,https://en.wikipedia.org/wiki/Nabil_Ayouch
Mary Ayubi,https://en.wikipedia.org/wiki/Mary_Ayubi
Suresh Bhardwaj,https://en.wikipedia.org/wiki/Suresh_Bhardwaj
Héctor Babenco,https://en.wikipedia.org/wiki/H%C3%A9ctor_Babenco
Lloyd Bacon,https://en.wikipedia.org/wiki/Lloyd_Bacon
John Badham,https://en.wikipedia.org/wiki/John_Badham
Bae Yong-Kyun,https://en.wikipedia.org/wiki/Bae_Yong-Kyun
Cindy Baer,https://en.wikipedia.org/wiki/Cindy_Baer
Prince Bagdasarian,https://en.wikipedia.org/wiki/Prince_Bagdasarian
King Baggot,https://en.wikipedia.org/wiki/King_Baggot
Stuart Baird,https://en.wikipedia.org/wiki/Stuart_Baird
Roy Ward Baker,https://en.wikipedia.org/wiki/Roy_Ward_Baker
Mohammad Bakri,https://en.wikipedia.org/wiki/Mohammad_Bakri
Ralph Bakshi,https://en.wikipedia.org/wiki/Ralph_Bakshi
Aleksei Balabanov,https://en.wikipedia.org/wiki/Aleksei_Balabanov
Kailasam Balachander,https://en.wikipedia.org/wiki/Kailasam_Balachander
Carroll Ballard,https://en.wikipedia.org/wiki/Carroll_Ballard
Charles Band,https://en.wikipedia.org/wiki/Charles_Band
Monty Banks,https://en.wikipedia.org/wiki/Monty_Banks
Juan Antonio Bardem,https://en.wikipedia.org/wiki/Juan_Antonio_Bardem
Chris Barfoot,https://en.wikipedia.org/wiki/Chris_Barfoot
Clive Barker,https://en.wikipedia.org/wiki/Clive_Barker
Reginald Barker,https://en.wikipedia.org/wiki/Reginald_Barker
Tom Barman,https://en.wikipedia.org/wiki/Tom_Barman
Boris Barnet,https://en.wikipedia.org/wiki/Boris_Barnet
Matthew Barney,https://en.wikipedia.org/wiki/Matthew_Barney
Daniel Barnz,https://en.wikipedia.org/wiki/Daniel_Barnz
Chuck Barris,https://en.wikipedia.org/wiki/Chuck_Barris
Drew Barrymore,https://en.wikipedia.org/wiki/Drew_Barrymore
Lionel Barrymore,https://en.wikipedia.org/wiki/Lionel_Barrymore
Andrzej Bartkowiak,https://en.wikipedia.org/wiki/Andrzej_Bartkowiak
Jason Bateman,https://en.wikipedia.org/wiki/Jason_Bateman
Paul Bartel,https://en.wikipedia.org/wiki/Paul_Bartel
Hall Bartlett,https://en.wikipedia.org/wiki/Hall_Bartlett
Felix Basch,https://en.wikipedia.org/wiki/Felix_Basch
Mario Bava,https://en.wikipedia.org/wiki/Mario_Bava
Michael Bay,https://en.wikipedia.org/wiki/Michael_Bay
Juan Antonio Bayona,https://en.wikipedia.org/wiki/Juan_Antonio_Bayona
Warren Beatty,https://en.wikipedia.org/wiki/Warren_Beatty
William Beaudine,https://en.wikipedia.org/wiki/William_Beaudine
Harry Beaumont,https://en.wikipedia.org/wiki/Harry_Beaumont
Harold Becker,https://en.wikipedia.org/wiki/Harold_Becker
Jacques Becker,https://en.wikipedia.org/wiki/Jacques_Becker
Josh Becker,https://en.wikipedia.org/wiki/Josh_Becker
Wolfgang Becker,https://en.wikipedia.org/wiki/Wolfgang_Becker
Guy Norman Bee,https://en.wikipedia.org/wiki/Guy_Norman_Bee
Ford Beebe,https://en.wikipedia.org/wiki/Ford_Beebe
Hans Behrendt,https://en.wikipedia.org/wiki/Hans_Behrendt
Jean-Jacques Beineix,https://en.wikipedia.org/wiki/Jean-Jacques_Beineix
Monta Bell,https://en.wikipedia.org/wiki/Monta_Bell
Marco Bellocchio,https://en.wikipedia.org/wiki/Marco_Bellocchio
Jerry Belson,https://en.wikipedia.org/wiki/Jerry_Belson
Maria Luisa Bemberg,https://en.wikipedia.org/wiki/Maria_Luisa_Bemberg
Jack Bender,https://en.wikipedia.org/wiki/Jack_Bender
László Benedek,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Benedek
Shyam Benegal,https://en.wikipedia.org/wiki/Shyam_Benegal
Roberto Benigni,https://en.wikipedia.org/wiki/Roberto_Benigni
Richard Benjamin,https://en.wikipedia.org/wiki/Richard_Benjamin
Spencer Gordon Bennet,https://en.wikipedia.org/wiki/Spencer_Gordon_Bennet
Robert Benton,https://en.wikipedia.org/wiki/Robert_Benton
Bruce Beresford,https://en.wikipedia.org/wiki/Bruce_Beresford
Andrew Bergman,https://en.wikipedia.org/wiki/Andrew_Bergman
Ingmar Bergman,https://en.wikipedia.org/wiki/Ingmar_Bergman
Busby Berkeley,https://en.wikipedia.org/wiki/Busby_Berkeley
Luis Garcia Berlanga,https://en.wikipedia.org/wiki/Luis_Garcia_Berlanga
Marc Berlin,https://en.wikipedia.org/wiki/Marc_Berlin
Paul Bern,https://en.wikipedia.org/wiki/Paul_Bern
Ishmael Bernal,https://en.wikipedia.org/wiki/Ishmael_Bernal
Curtis Bernhardt,https://en.wikipedia.org/wiki/Curtis_Bernhardt
Claude Berri,https://en.wikipedia.org/wiki/Claude_Berri
Arthur Berthelet,https://en.wikipedia.org/wiki/Arthur_Berthelet
André Berthomieu,https://en.wikipedia.org/wiki/Andr%C3%A9_Berthomieu
Bernardo Bertolucci,https://en.wikipedia.org/wiki/Bernardo_Bertolucci
Luc Besson,https://en.wikipedia.org/wiki/Luc_Besson
Frank Beyer,https://en.wikipedia.org/wiki/Frank_Beyer
